Rank,Lister,Artist,Album,# of lists,98
9,Brianne,Lucy Dacus,Home Video,,
10,Brianne,Billie Eilish,Happier Than Ever,,
1,Caitlin,Brandi Carlile,In These Silent Days,,
2,Caitlin,Lorde,Solar Power,,
3,Caitlin,Ben Platt,Reverie,,
4,Caitlin,Kacey Musgraves,star-crossed,,
5,Caitlin,Olivia Rodrigo,Sour,,
6,Caitlin,Lizzy McAlpine,When The World Stopped Moving: The Live EP,,
7,Caitlin,Silk Sonic,An Evening With Silk Sonic,,
8,Caitlin,Allison Russell,Outside Child,,
9,Caitlin,Emily Scott Robinson,american siren,,
10,Caitlin,Adele,30,,
1,Caleb,J. Cole,The Off-Season,,
2,Caleb,Baby Keem,The Melodic Blue,,
3,Caleb,"Tyler, the Creator",Call Me If You Get Lost,,
4,Caleb,Marcellus Juvann,HARDHEADED,,
5,Caleb,Vince Staples,Vince Staples,,
6,Caleb,JPEGMAFIA,LP!,,
7,Caleb,Kanye West,Donda,,
8,Caleb,Lil Tjay,Destined 2 Win,,
9,Caleb,Drake,Certified Lover Boy,,
10,Caleb,Lil Nas X,Montero,,
1,Calen,Silk Sonic,An Evening With Silk Sonic,,
2,Calen,Julien Baker,Little Oblivions,,
3,Calen,"Tyler, the Creator",Call Me If You Get Lost,,
4,Calen,Snail Mail,Valentine,,
5,Calen,Lorde,Solar Power,,
6,Calen,J. Cole,The Off-Season,,
7,Calen,Little Simz,Sometimes I Might Be Introvert,,
8,Calen,St. Vincent,Daddy's Home,,
9,Calen,Arlo Parks,Collapsed in Sunbeams,,
10,Calen,Kanye West,Donda,,
1,Carson,Dijon,Absolutely,,
2,Carson,Silk Sonic,An Evening With Silk Sonic,,
3,Carson,Buck Meek,Two Saviors,,
4,Carson,Floating Points & Pharaoh Sanders,Promises,,
5,Carson,Sam Gendel & Sam Wilkes,Music for Saxofone & Bass tar: More Songs,,
6,Carson,Remi Wolf,Juno,,
7,Carson,Sam Evian,Time to Melt,,
8,Carson,Dayglow,Harmony House,,
9,Carson,The Weather Station,Ignorance,,
10,Carson,Parcels,Day/Night,,
1,Chase,Adele,30,,
2,Chase,Jazmine Sullivan,Heaux Tales,,
3,Chase,Jon Batiste,WE ARE,,
4,Chase,Celeste,Not Your Muse,,
5,Chase,Allison Russell,Outside Child,,
6,Chase,Olivia Rodrigo,Sour,,
7,Chase,Lil Nas X,Montero,,
8,Chase,Billie Eilish,Happier Than Ever,,
9,Chase,Kacey Musgraves,star-crossed,,
10,Chase,Griff,One Foot In Front Of The Other,,
1,Clare,Kings of Leon,When You See Yourself,,
2,Clare,Lil Nas X,Montero,,
3,Clare,Dacey,Satin Playground,,
4,Clare,Drake,Scary Hours 2,,
5,Clare,Drake,Certified Lover Boy,,
6,Clare,Bleachers,Take the Sadness Out of Saturday Night,,
7,Clare,Third Eye Blind,Our Bande Apart,,
8,Clare,John Mayer,Sob Rock,,
9,Clare,Sam Dew,Moonlight Fools,,
10,Clare,Drakeo the Ruler,Ain't That The Truth,,
1,Coal,Silk Sonic,An Evening With Silk Sonic,,
2,Coal,Parcels,Day/Night,,
3,Coal,Eloise,Somewhere In-Between,,
4,Coal,Faye Webster,I Know I'm Funny haha,,
5,Coal,BADBADNOTGOOD,Talk Memory,,
6,Coal,Hiatus Kaiyote,Mood Valiant,,
7,Coal,Still Woozy,"If This Isn't Nice, I Don't Know What Is",,
8,Coal,Olivia Rodrigo,Sour,,
9,Coal,"Tyler, the Creator",Call Me If You Get Lost,,
10,Coal,Brandee Younger,Somewhere Different,,
1,Cole M,Every Time I Die,Radical,,
2,Cole M,Valerie June,The Moon And Stars: Prescriptions For Dreamers,,
3,Cole M,Modest Mouse,The Golden Casket,,
4,Cole M,Julien Baker,Little Oblivions,,
5,Cole M,My Morning Jacket,My Morning Jacket,,
6,Cole M,TORRES,Thirstier,,
7,Cole M,Rise Against,Nowhere Generation,,
8,Cole M,Lord Huron,Long Lost,,
9,Cole M,The Killers,Pressure Machine,,
10,Cole M,Wayward Nick,Puny Human,,
1,Cole S,BADBADNOTGOOD,Talk Memory,,
2,Cole S,Parcels,Day/Night,,
3,Cole S,Turnstile,Glow On,,
4,Cole S,Lana Del Rey,Chemtrails Over the Country Club,,
5,Cole S,"Tyler, the Creator",Call Me If You Get Lost,,
6,Cole S,Snail Mail,Valentine,,
7,Cole S,Clairo,Sling,,
8,Cole S,Dante's Paradise,Your Move,,
9,Cole S,Main Phase,Buss It,,
10,Cole S,Glume & Phossa,Banshee,,
1,Craig/Denice,Adele,30,,
2,Craig/Denice,Jon Batiste,WE ARE,,
3,Craig/Denice,The Black Keys,Delta Kream,,
4,Craig/Denice,Allison Russell,Outside Child,,
5,Craig/Denice,ABBA,Voyage,,
6,Craig/Denice,Lana Del Rey,Chemtrails Over the Country Club,,
7,Craig/Denice,The War on Drugs,I Don't Live Here Anymore,,
8,Craig/Denice,Elton John,The Lockdown Sessions,,
9,Craig/Denice,Faye Webster,I Know I'm Funny haha,,
10,Craig/Denice,Bo Burnham,Inside (The Songs),,
1,CRISPY,Mike and the Moonpies,One to Grow On,,
2,CRISPY,Charles Wesley Godwin,How the Mighty Fall,,
3,CRISPY,Carly Pearce,29,,
4,CRISPY,Morgan Wade,Reckless,,
5,CRISPY,Cody Johnson,Human: The Double Album,,
6,CRISPY,Morgan Wallen,Dangerous: the Double Album,,
7,CRISPY,Midland,The Sonic Ranch,,
8,CRISPY,Eric Church,Soul,,
9,CRISPY,Flatland Cavalry,Welcome To Countryland,,
10,CRISPY,Sturgill Simpson,The Ballad of Dood & Juanita,,
1,Dallas,Japanese Breakfast,Jubilee,,
2,Dallas,Faye Webster,I Know I'm Funny haha,,
3,Dallas,"Tyler, the Creator",Call Me If You Get Lost,,
4,Dallas,Lana Del Rey,Chemtrails Over the Country Club,,
5,Dallas,Mariah the Scientist,RY RY WORLD,,
6,Dallas,Men I Trust,Untourable Album,,
7,Dallas,Half Waif,Mythopoetics,,
8,Dallas,Turnstile,Glow On,,
9,Dallas,Bladee,The Fool,,
